1 _ 1			1 _ 2			1 _ 3			1 _ 4			1 _ 5			1 _ 6		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
8,3	542,3037	0,1017667	8,3	506,4329	0,1389333	8,3	500,47	0,1389	8,3	500,6242	0,1389	8,3	501,3943	0,1388667	8,3	503,3954	0,1389
8,4	542,109	0,1018	8,4	512,4847	0,1405667	8,4	506,6292	0,1405333	8,4	506,7817	0,1405667	8,4	507,5717	0,1405667	8,4	509,5935	0,1406333
8,5	541,9333	0,1018	8,5	518,5183	0,1422667	8,5	512,7422	0,1422667	8,5	512,9313	0,1422333	8,5	513,7253	0,1422333	8,5	515,8019	0,1422667
8,6	541,7633	0,1018	8,6	524,5328	0,1439	8,6	518,8394	0,1439	8,6	519,1263	0,1439	8,6	519,9233	0,1439	8,6	521,9523	0,1439333
8,7	541,5829	0,1018	8,7	530,5004	0,1456	8,7	524,9747	0,1455667	8,7	525,2178	0,1455667	8,7	526,0277	0,1455667	8,7	528,1051	0,1456
8,8	541,4168	0,1018	8,8	536,4736	0,1473	8,8	531,0003	0,1472333	8,8	531,3619	0,1472667	8,8	532,2051	0,1472333	8,8	534,2333	0,1472333
8,9	541,2555	0,1018	8,9	542,4738	0,1477667	8,9	537,1698	0,1489	8,9	537,4861	0,1489	8,9	538,377	0,1484667	8,9	540,4099	0,1484667
9	541,0878	0,1018	9	547,2859	0,1477333	9	543,251	0,1492667	9	543,592	0,1493333	9	544,2023	0,1485	9	546,2575	0,1485
9,1	540,932	0,1018	9,1	548,3063	0,1477333	9,1	547,9384	0,1493	9,1	548,4009	0,1493333	9,1	547,1547	0,1485	9,1	549,1257	0,1484667
9,2	540,7715	0,1018	9,2	547,9963	0,1477333	9,2	548,9175	0,1492667	9,2	549,4849	0,1493	9,2	547,2581	0,1484667	9,2	549,2227	0,1484667
9,3	540,6221	0,1018	9,3	547,6785	0,1477333	9,3	548,6989	0,1492667	9,3	549,2783	0,1493	9,3	547,0594	0,1484667	9,3	549,0208	0,1484667
9,4	540,4838	0,1018	9,4	547,3916	0,1477	9,4	548,4653	0,1492667	9,4	549,0621	0,1493	9,4	546,8925	0,1484333	9,4	548,8467	0,1484333
9,5	540,3217	0,1018	9,5	547,1285	0,1477	9,5	548,257	0,1492333	9,5	548,8721	0,1492667	9,5	546,7224	0,1484	9,5	548,7037	0,1484333
9,6	540,1778	0,1018	9,6	546,8798	0,1476667	9,6	548,0615	0,1492333	9,6	548,6965	0,1492333	9,6	546,5635	0,1484	9,6	548,567	0,1484
9,7	540,0419	0,1018	9,7	546,6485	0,1476333	9,7	547,8915	0,1492	9,7	548,5312	0,1492	9,7	546,4101	0,1483667	9,7	548,4167	0,1483667
9,8	539,9116	0,1018	9,8	546,4371	0,1476333	9,8	547,7245	0,1491667	9,8	548,3699	0,1492	9,8	546,2583	0,1483667	9,8	548,2825	0,1483667
9,9	539,7789	0,1018	9,9	546,2376	0,1476333	9,9	547,5616	0,1491667	9,9	548,2117	0,1492	9,9	546,1303	0,1483667	9,9	548,1545	0,1483667
10	539,6445	0,1018	10	546,0469	0,1476333	10	547,3979	0,1491667	10	548,087	0,1492	10	546,0223	0,1483667	10	548,0393	0,1483667
10,1	539,5237	0,1018	10,1	545,8713	0,1476333	10,1	547,2636	0,1491667	10,1	547,967	0,1492	10,1	545,9213	0,1483667	10,1	547,9407	0,1483667
10,2	539,395	0,1018	10,2	545,7258	0,1476333	10,2	547,1389	0,1491667	10,2	547,8469	0,1492	10,2	545,8243	0,1483667	10,2	547,8461	0,1483667
10,3	539,2559	0,1018	10,3	545,5637	0,1476333	10,3	547,0141	0,1491667	10,3	547,7405	0,1492	10,3	545,7282	0,1483667	10,3	547,7548	0,1483667
10,4	539,1264	0,1018	10,4	545,4055	0,1476333	10,4	546,8949	0,1491667	10,4	547,6316	0,1492	10,4	545,636	0,1483667	10,4	547,6729	0,1483667
10,5	539,0048	0,1018	10,5	545,2585	0,1476333	10,5	546,7916	0,1491667	10,5	547,5235	0,1491667	10,5	545,5478	0,1483667	10,5	547,5966	0,1483667
10,6	538,8864	0,1018	10,6	545,129	0,1476333	10,6	546,6954	0,1491667	10,6	547,429	0,1492	10,6	545,4675	0,1483667	10,6	547,5148	0,1483667
10,7	538,7537	0,1018	10,7	545,0082	0,1476333	10,7	546,5897	0,1491667	10,7	547,3415	0,1491667	10,7	545,396	0,1483333	10,7	547,4329	0,1483667
10,8	538,6408	0,1018	10,8	544,8842	0,1476333	10,8	546,4927	0,1491667	10,8	547,2541	0,1492	10,8	545,3237	0,1483333	10,8	547,3661	0,1483667
10,9	538,5272	0,1018	10,9	544,7658	0,1476333	10,9	546,4006	0,1491667	10,9	547,1794	0,1492	10,9	545,2505	0,1483333	10,9	547,301	0,1483667
11	538,4143	0,1018	11	544,6402	0,1476333	11	546,3163	0,1491667	11	547,1063	0,1492	11	545,1823	0,1483667	11	547,2286	0,1483667
11,1	538,3198	0,1018	11,1	544,525	0,1476333	11,1	546,2257	0,1491333	11,1	547,0189	0,1492	11,1	545,1147	0,1483667	11,1	547,1595	0,1483667
11,2	538,2053	0,1017333	11,2	544,4153	0,1476333	11,2	546,1502	0,1491667	11,2	546,9442	0,1492	11,2	545,0519	0,1483667	11,2	547,0991	0,1483667
11,3	538,0646	0,0997	11,3	544,3033	0,1476333	11,3	546,0573	0,1491667	11,3	546,8702	0,1492	11,3	544,9891	0,1483667	11,3	547,0458	0,1483667
11,4	536,3854	0,09793334	11,4	544,2126	0,1476333	11,4	545,9769	0,1491667	11,4	546,8011	0,1492	11,4	544,9176	0,1483667	11,4	546,9918	0,1483667
