1 _ 1			1 _ 2			1 _ 3		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм
			904,97	181,0646	15,08283			
			904,98	181,0749	15,083			
			904,99	181,0821	15,08317			
			905	181,0797	15,0833			
			905,01	181,071	15,0835			
			905,02	181,0686	15,08363			
			905,03	181,0749	15,0838			
			905,04	181,0829	15,08397			
			905,05	181,0884	15,08413			
			905,06	181,0932	15,0843			
			905,07	181,098	15,08447			
			905,08	181,1004	15,08463			
			905,09	181,098	15,0848			
			905,1	181,0956	15,08497			
			905,11	181,0988	15,08513			
			905,12	181,1043	15,0853			
			905,13	181,1075	15,08543			
			905,14	181,1091	15,08563			
			905,15	181,1091	15,08577			
			905,16	181,1131	15,08597			
			905,17	181,1187	15,08613			
			905,18	181,1226	15,08633			
			905,19	181,1202	15,0865			
			905,2	181,1163	15,08663			
			905,21	181,1163	15,08683			
			905,22	181,1187	15,08697			
			905,23	181,1226	15,08713			
			905,24	181,125	15,0873			
			905,25	181,129	15,08743			
			905,26	181,1322	15,08763			
			905,27	181,1345	15,0878			
			905,28	181,1385	15,08797			
			905,29	181,1457	15,08817			
			905,3	181,1608	15,08833			
			905,31	181,1767	15,0885			
			905,32	181,1878	15,08867			
			905,33	181,1918	15,08883			
			905,34	181,1894	15,08897			
			905,35	181,1854	15,08913			
			905,36	181,183	15,0893			
			905,37	181,183	15,08947			
			905,38	181,1838	15,08963			
			905,39	181,1806	15,08983			
			905,4	181,1767	15,09			
			905,41	181,1767	15,09017			
			905,42	181,1767	15,09033			
			905,43	181,1751	15,0905			
			905,44	181,1751	15,09067			
			905,45	181,1814	15,09083			
			905,46	181,1918	15,091			
			905,47	181,1997	15,09113			
			905,48	181,2037	15,0913			
			905,49	181,2077	15,09147			
			905,5	181,2124	15,09163			
			905,51	181,2188	15,09183			
			905,52	181,2236	15,09197			
			905,53	181,2236	15,09217			
			905,54	181,222	15,0923			
			905,55	181,2212	15,09247			
			905,56	181,2188	15,09263			
			905,57	181,2196	15,0928			
			905,58	181,2243	15,09297			
			905,59	181,2323	15,09313			
			905,6	181,2323	15,0933			
			905,61	181,2243	15,09347			
			905,62	181,2172	15,09363			
			905,63	181,2172	15,0938			
			905,64	181,2196	15,09397			
			905,65	181,2188	15,09413			
			905,66	181,2132	15,0943			
			905,67	181,2053	15,09447			
			905,68	181,1949	15,09463			
			905,69	181,1894	15,09483			
			905,7	181,1862	15,095			
			905,71	181,1838	15,09517			
			905,72	181,179	15,0953			
			905,73	181,1695	15,09547			
			905,74	181,1568	15,09563			
			905,75	181,1409	15,0958			
			905,76	181,1187	15,09597			
			905,77	181,0908	15,09613			
			905,78	181,0622	15,0963			
			905,79	181,0368	15,09647			
			905,8	181,0145	15,09663			
			905,81	180,9899	15,0968			
			905,82	180,9549	15,09697			
			905,83	180,9136	15,09713			
			905,84	180,8763	15,0973			
			905,85	180,8405	15,09747			
			905,86	180,8	15,09763			
			905,87	180,7586	15,0978			
			905,88	180,7253	15,09797			
			905,89	180,7014	15,09813			
			905,9	180,68	15,0983			
			905,91	180,6577	15,0985			
			905,92	180,6362	15,09863			
