"Имя испытания","Режим испытания","Тип испытания","Заголовок1","Комментарий1","Ключвое слово","Наименование продукта","Имя файла испытания","Имя файла метода","Дата отчета","Дата испытания","Режим испытания","Тип испытания","Скорость","Форма","Серия:","Части серии:"
"Стеклопластик_2013-11-19_ц5-2.xtas","Контрольный","Растяжение","Заголовок","Комментарий"," "," ","Стеклопластик_2013-11-19_ц5-2.xtas","Стеклопластик_ц5.xmas","19.11.2013","19.11.2013","Контрольный","Растяжение","1мм/мин","Плоская","1","1"

"Форма:","Серия:","Часть серии:"
"Плоская","1","1"
"Имя","Толщина","Ширина","Длина базы измерения"
"Размерность:","мм","мм","мм"
"1 _ 1","1,3000","40,1000","110,0000"

"Имя"
"Параметр"
"Единица"
"1 _ 1"

"1 _ 1",
"Время","Сила","Ход"
"сек","Н","мм"
"3,94","15,75152","0,0656"
"3,95","15,7547","0,06576667"
"3,96","15,76265","0,06593333"
"3,97","15,7698","0,06606667"
"3,98","15,77377","0,06626667"
"3,99","15,77695","0,06643333"
"4","15,78728","0,0666"
"4,01","15,79682","0,06676666"
"4,02","15,80079","0,06693333"
"4,03","15,79444","0,0671"
"4,04","15,78967","0,06726667"
"4,05","15,79444","0,06743333"
"4,06","15,80795","0,0676"
"4,07","15,81192","0,06776667"
"4,08","15,80397","0,06793334"
"4,09","15,79285","0,06806666"
"4,1","15,79205","0,06826667"
"4,11","15,80159","0,0684"
"4,12","15,81192","0,0686"
"4,13","15,81748","0,06876667"
"4,14","15,82146","0,06893333"
"4,15","15,82782","0,0691"
"4,16","15,8302","0,06926667"
"4,17","15,82146","0,06943333"
"4,18","15,80795","0,0696"
"4,19","15,80079","0,06973334"
"4,2","15,81033","0,0699"
"4,21","15,82623","0,07006667"
"4,22","15,83099","0,07023334"
"4,23","15,82146","0,0704"
"4,24","15,8151","0,0706"
"4,25","15,82305","0,07076667"
"4,26","15,83894","0,07093333"
"4,27","15,85086","0,07113333"
"4,28","15,85722","0,0713"
"4,29","15,86119","0,07146667"
"4,3","15,86358","0,0716"
"4,31","15,86596","0,07176667"
"4,32","15,86676","0,07193334"
"4,33","15,86914","0,0721"
"4,34","15,8747","0,07226667"
"4,35","15,88504","0,07246666"
"4,36","15,89378","0,07263333"
"4,37","15,89378","0,07276667"
"4,38","15,89298","0,07293333"
"4,39","15,90014","0,07306667"
"4,4","15,91603","0,07326667"
"4,41","15,92954","0,07343333"
"4,42","15,93192","0,0736"
"4,43","15,92954","0,07376667"
"4,44","15,93192","0,07393333"
"4,45","15,94305","0,0741"
"4,46","15,95656","0,07426666"
"4,47","15,96292","0,07443333"
"4,48","15,96451","0,0746"
"4,49","15,96769","0,07476667"
"4,5","15,97484","0,07493334"
"4,51","15,98358","0,07513333"
"4,52","15,98914","0,07526667"
"4,53","15,99232","0,07543334"
"4,54","16,00266","0,0756"
"4,55","16,01616","0,07576667"
