41.7мм @1мм/мин			9.8мм @1мм/мин			6.0мм @1мм/мин			6.0мм @3мм/мин		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
20,9	479,0918	0,3483	20,9	12,50188	0,3483	20,9	0,6270409	0,3483	20,9	10,83771	0,8914667
21	482,3303	0,3499667	21	12,61711	0,3499333	21	0,6405513	0,3499667	21	10,92275	0,8965
21,1	485,5291	0,3516333	21,1	12,7244	0,3516	21,1	0,6723404	0,3516333	21,1	10,99507	0,9014333
21,2	488,7469	0,3533	21,2	12,86586	0,3532667	21,2	0,6937981	0,3533	21,2	11,10236	0,9064333
21,3	491,9799	0,3549667	21,3	12,98428	0,3549334	21,3	0,7351239	0,3549667	21,3	11,19852	0,9114333
21,4	495,1119	0,3566	21,4	13,11064	0,3566	21,4	0,7724762	0,3566333	21,4	11,29707	0,9164
21,5	498,3489	0,3583	21,5	13,23382	0,3582667	21,5	0,7883708	0,3583333	21,5	11,37813	0,9214333
21,6	501,5365	0,3599	21,6	13,35462	0,3599333	21,6	0,8002917	0,3599667	21,6	11,48383	0,9264333
21,7	504,7965	0,3616667	21,7	13,48098	0,3616333	21,7	0,8265178	0,3616667	21,7	11,55138	0,9314
21,8	507,8943	0,3633	21,8	13,61529	0,3632667	21,8	0,8734067	0,3632667	21,8	11,66662	0,9364667
21,9	511,1241	0,365	21,9	13,72973	0,3649	21,9	0,8877118	0,365	21,9	11,74609	0,9414667
22	514,2951	0,3666333	22	13,84576	0,3666	22	0,9234746	0,3666667	22	11,84066	0,9464334
