"1 _ 1 +23",,,"1 _ 1 _10",,,"1 _ 2 +35",,
"Время","Сила","Ход","Время","Сила","Ход","Время","Сила","Ход"
"сек","Н","мм","сек","Н","мм","сек","Н","мм"
"2,12","5,997022","2,108333","2,12","5,548","2,108667","2,12","5,771319","2,107967"
"2,13","6,03199","2,118167","2,13","5,578995","2,118733","2,13","5,79834","2,117933"
"2,14","6,067753","2,128067","2,14","5,606016","2,128567","2,14","5,823771","2,128133"
"2,15","6,097158","2,138133","2,15","5,624294","2,138233","2,15","5,848408","2,1384"
"2,16","6,11941","2,148233","2,16","5,63542","2,147967","2,16","5,877813","2,148533"
"2,17","6,140073","2,158467","2,17","5,652905","2,1579","2,17","5,912781","2,158667"
"2,18","6,171862","2,168633","2,18","5,679925","2,1681","2,18","5,945364","2,168567"
"2,19","6,207625","2,178667","2,19","5,714098","2,1784","2,19","5,977949","2,178367"
"2,2","6,236235","2,1884","2,2","5,749861","2,188567","2,2","6,010532","2,188133"
"2,21","6,254514","2,198233","2,21","5,78324","2,1987","2,21","6,043116","2,198067"
"2,22","6,275177","2,2082","2,22","5,814234","2,2087","2,22","6,070932","2,208167"
"2,23","6,307761","2,218167","2,23","5,84205","2,218367","2,23","6,093184","2,218433"
"2,24","6,344318","2,228167","2,24","5,868276","2,228033","2,24","6,113052","2,228533"
"2,25","6,377697","2,238367","2,25","5,888144","2,237867","2,25","6,132921","2,238633"
"2,26","6,39995","2,248567","2,26","5,906423","2,248","2,26","6,155968","2,248633"
"2,27","6,422202","2,2586","2,27","5,92947","2,258267","2,27","6,182194","2,2584"
"2,28","6,452402","2,268533","2,28","5,958875","2,2685","2,28","6,212393","2,268133"
"2,29","6,48578","2,278367","2,29","5,98987","2,278667","2,29","6,244977","2,277967"
"2,3","6,512801","2,288267","2,3","6,016096","2,288667","2,3","6,274382","2,288"
"2,31","6,532669","2,2982","2,31","6,036758","2,2985","2,31","6,299814","2,298233"
"2,32","6,550153","2,308033","2,32","6,059011","2,308267","2,32","6,326834","2,308467"
"2,33","6,568432","2,318033","2,33","6,084442","2,318067","2,33","6,359418","2,3186"
"2,34","6,593069","2,328267","2,34","6,111463","2,3281","2,34","6,395976","2,328667"
"2,35","6,623268","2,3384","2,35","6,133715","2,338267","2,35","6,431738","2,338533"
"2,36","6,655852","2,348433","2,36","6,151199","2,3485","2,36","6,460349","2,3482"
"2,37","6,685257","2,358333","2,37","6,169478","2,358533","2,37","6,483396","2,357967"
"2,38","6,709894","2,3682","2,38","6,190936","2,368567","2,38","6,506443","2,3679"
"2,39","6,732941","2,378167","2,39","6,221136","2,378333","2,39","6,53108","2,377967"
"2,4","6,762346","2,388167","2,4","6,256104","2,388033","2,4","6,555716","2,388267"
"2,41","6,79493","2,398233","2,41","6,281535","2,397833","2,41","6,579558","2,398467"
"2,42","6,822745","2,408467","2,42","6,296635","2,407867","2,42","6,598631","2,408733"
"2,43","6,847382","2,418667","2,43","6,308556","2,418133","2,43","6,620089","2,4187"
"2,44","6,873608","2,4286","2,44","6,332397","2,4285","2,44","6,644726","2,428467"
"2,45","6,903013","2,438367","2,45","6,367365","2,4387","2,45","6,672541","2,4382"
"2,46","6,927649","2,448233","2,46","6,402334","2,4488","2,46","6,699562","2,448067"
"2,47","6,943544","2,458233","2,47","6,422997","2,458667","2,47","6,723404","2,4582"
"2,48","6,961028","2,4682","2,48","6,436507","2,468433","2,48","6,748835","2,4685"
"2,49","6,985664","2,478167","2,49","6,45717","2,4781","2,49","6,783803","2,478567"
"2,5","7,023811","2,488333","2,5","6,488164","2,487933","2,5","6,820361","2,488667"
"2,51","7,064342","2,498533","2,51","6,519159","2,4981","2,51","6,853739","2,498667"
"2,52","7,093748","2,5086","2,52","6,543795","2,5084","2,52","6,88076","2,508467"
"2,53","7,112026","2,518567","2,53","6,566048","2,5186","2,53","6,905397","2,5182"
"2,54","7,132689","2,528467","2,54","6,593069","2,528767","2,54","6,932417","2,528033"
"2,55","7,163683","2,538367","2,55","6,626447","2,538733","2,55","6,965796","2,538067"
"2,56","7,197857","2,548367","2,56","6,658236","2,5486","2,56","7,001559","2,548333"
"2,57","7,224083","2,5582","2,57","6,678899","2,5583","2,57","7,02858","2,558567"
"2,58","7,242362","2,5682","2,58","6,691615","2,568033","2,58","7,048448","2,568733"
"2,59","7,26223","2,578467","2,59","6,710688","2,578033","2,59","7,067522","2,5788"
"2,6","7,291635","2,5886","2,6","6,746451","2,588233","2,6","7,094542","2,588633"
"2,61","7,329782","2,598567","2,61","6,786982","2,598433","2,61","7,127921","2,598333"
"2,62","7,363161","2,6085","2,62","6,814003","2,608533","2,62","7,154147","2,607967"
"2,63","7,383029","2,618367","2,63","6,822745","2,6186","2,63","7,167657","2,6179"
"2,64","7,394949","2,6283","2,64","6,827513","2,628467","2,64","7,181168","2,628167"
"2,65","7,412434","2,638233","2,65","6,846587","2,638233","2,65","7,210573","2,6385"
"2,66","7,439455","2,6483","2,66","6,883144","2,647967","2,66","7,252693","2,648633"
"2,67","7,470449","2,658533","2,67","6,922881","2,658","2,67","7,29084","2,658733"
"2,68","7,49588","2,668633","2,68","6,952286","2,668233","2,68","7,309914","2,668633"
"2,69","7,518133","2,678633","2,69","6,972154","2,6785","2,69","7,320245","2,6784"
"2,7","7,547537","2,6884","2,7","6,992817","2,688633","2,7","7,336935","2,6881"
"2,71","7,5833","2,698233","2,71","7,017454","2,698767","2,71","7,371902","2,697967"
"2,72","7,614295","2,7082","2,72","7,044474","2,708733","2,72","7,40846","2,708067"
"2,73","7,636547","2,7182","2,73","7,071495","2,718433","2,73","7,434686","2,718333"
"2,74","7,655621","2,7281","2,74","7,096132","2,7281","2,74","7,452965","2,728467"
"2,75","7,685026","2,738267","2,75","7,116795","2,738033","2,75","7,477602","2,7386"
"2,76","7,724762","2,748467","2,76","7,135073","2,748133","2,76","7,51098","2,748633"
"2,77","7,766882","2,758533","2,77","7,156531","2,758433","2,77","7,543564","2,758433"
"2,78","7,794698","2,7685","2,78","7,179578","2,7686","2,78","7,570585","2,768167"
"2,79","7,809798","2,778433","2,79","7,206599","2,778733","2,79","7,592042","2,777967"
"2,8","7,821719","2,7883","2,8","7,232825","2,788633","2,8","7,612705","2,788"
"2,81","7,845561","2,798167","2,81","7,257462","2,798367","2,81","7,637342","2,7982"
"2,82","7,875761","2,808067","2,82","7,285277","2,808067","2,82","7,665952","2,808467"
"2,83","7,906755","2,8182","2,83","7,313887","2,817967","2,83","7,696152","2,8187"
"2,84","7,929007","2,828467","2,84","7,332166","2,828033","2,84","7,719994","2,828833"
"2,85","7,947286","2,838533","2,85","7,347266","2,8383","2,85","7,736683","2,838667"
"2,86","7,971128","2,848467","2,86","7,369518","2,848533","2,86","7,753372","2,848333"
"2,87","8,00689","2,858333","2,87","7,401308","2,8586","2,87","7,774035","2,858"
"2,88","8,041064","2,8682","2,88","7,433096","2,868667","2,88","7,802645","2,867933"
"2,89","8,068085","2,8782","2,89","7,450581","2,878533","2,89","7,83205","2,8781"
"2,9","8,088748","2,8882","2,9","7,456938","2,8882","2,9","7,859866","2,888367"
"2,91","8,117358","2,898233","2,91","7,466475","2,897933","2,91","7,886092","2,8985"
"2,92","8,153121","2,908433","2,92","7,491112","2,907967","2,92","7,911523","2,908633"
"2,93","8,189678","2,9186","2,93","7,522901","2,918133","2,93","7,93616","2,918533"
"2,94","8,220673","2,928533","2,94","7,552306","2,928433","2,94","7,960001","2,928233"
"2,95","8,245309","2,938367","2,95","7,573763","2,9386","2,95","7,983049","2,938033"
"2,96","8,265178","2,948233","2,96","7,592837","2,9488","2,96","8,007686","2,947967"
"2,97","8,286635","2,958133","2,97","7,621447","2,958767","2,97","8,036296","2,958133"
"2,98","8,312861","2,968033","2,98","7,661978","2,9684","2,98","8,066495","2,968333"
"2,99","8,337498","2,978067","2,99","7,697741","2,978033","2,99","8,096695","2,9785"
"3","8,353393","2,988267","3","7,71602","2,987933","3","8,120537","2,9886"
