"1 _ 1",,,
"Время","Сила","Ход","Экст.1"
"сек","Н","мм","мм"
"4,65","22,3287","74,69493","26,47781"
"4,66","22,35254","74,8617","26,53376"
"4,67","22,36923","75,02867","26,52613"
"4,68","22,37558","75,1951","26,65202"
"4,69","22,38194","75,36177","26,7156"
"4,7","22,38989","75,52856","26,7156"
"4,71","22,38989","75,6951","26,70797"
"4,72","22,39307","75,86163","26,86691"
"4,73","22,4185","76,0285","26,93812"
"4,74","22,4479","76,19514","26,95338"
"4,75","22,46777","76,36173","26,94575"
"4,76","22,49877","76,52843","27,02459"
"4,77","22,54804","76,69517","27,07291"
"4,78","22,59572","76,86193","27,18353"
"4,79","22,62672","77,0285","27,25474"
"4,8","22,64579","77,195","27,24711"
"4,81","22,66089","77,36177","27,35011"
"4,82","22,67679","77,5284","27,41369"
"4,83","22,69745","77,695","27,41369"
"4,84","22,73242","77,86183","27,53194"
"4,85","22,77374","78,02863","27,61078"
"4,86","22,78884","78,195","27,71378"
"4,87","22,77056","78,3618","27,75447"
"4,88","22,76421","78,52867","27,77735"
"4,89","22,81745","78,69507","27,77735"
"4,9","22,9009","78,8617","27,90451"
"4,91","22,95732","79,0286","27,96809"
"4,92","22,96209","79,1953","28,1105"
"4,93","22,9454","79,36183","28,18171"
"4,94","22,95097","79,52856","28,18171"
"4,95","23,00024","79,6952","28,17408"
"4,96","23,067","79,8618","28,18171"
"4,97","23,09879","80,02847","28,18171"
"4,98","23,07653","80,1951","28,26055"
"4,99","23,03362","80,362","28,29234"
"5","23,02885","80,5285","28,29234"
"5,01","23,07653","80,695","28,29997"
"5,02","23,13217","80,86187","28,43475"
"5,03","23,15442","81,0285","28,49833"
"5,04","23,14568","81,19497","28,60896"
"5,05","23,1417","81,36173","28,67254"
"5,06","23,17747","81,5286","28,67254"
"5,07","23,25138","81,69504","28,83148"
"5,08","23,32052","81,86173","28,90269"
"5,09","23,34277","82,02863","28,89506"
"5,1","23,33879","82,19507","29,02094"
"5,11","23,35707","82,3617","29,09342"
"5,12","23,41509","82,52856","29,09342"
"5,13","23,48741","82,69527","29,09342"
"5,14","23,5192","82,8618","29,09342"
"5,15","23,48741","83,0284","29,20405"
"5,16","23,43734","83,19507","29,25873"
"5,17","23,43257","83,36187","29,25873"
"5,18","23,48661","83,5285","29,26763"
"5,19","23,56291","83,69514","29,38589"
"5,2","23,60423","83,86197","29,58425"
"5,21","23,59072","84,02856","29,65546"
"5,22","23,56529","84,19504","29,71903"
