1 _ 1			1 _ 3			1 _ 2			1 _ 4			1 _ 5			1 _ 6			1 _ 7			1 _ 8			1 _ 9			1 _ 10			1 _ 11			1 _ 12			1 _ 13			1 _ 14			1 _ 15		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0.33	2.531211	0.0054	0.33	12.80228	0.005433334	0.33	8.788903	0.03266667	0.33	8.711815	0.005266667	0.33	8.957386	0.03263333	0.33	7.6437	0.0053	0.33	7.206599	0.005233333	0.33	7.199446	0.005266667	0.33	7.162889	0.005266667	0.33	7.184347	0.005233333	0.33	7.870992	0.005233333	0.33	8.896987	0.03266667	0.33	10.0867	0.01636667	0.33	9.792645	0.005433334	0.33	7.588068	0.01633333
0.34	2.5328	0.005566667	0.34	12.81102	0.005633333	0.34	8.802414	0.0337	0.34	8.77142	0.005466667	0.34	8.982022	0.0337	0.34	7.701715	0.005466667	0.34	7.231236	0.005433334	0.34	7.226467	0.005433334	0.34	7.18832	0.005433334	0.34	7.20342	0.005366667	0.34	7.910728	0.005366667	0.34	8.919239	0.0337	0.34	10.08828	0.01686667	0.34	9.792645	0.005633333	0.34	7.595221	0.01683333
0.35	2.528826	0.005766667	0.35	12.81738	0.0058	0.35	8.817513	0.03473333	0.35	8.842945	0.005633333	0.35	9.010633	0.03473333	0.35	7.767677	0.005633333	0.35	7.26223	0.005633333	0.35	7.258256	0.005633333	0.35	7.217725	0.0056	0.35	7.219315	0.005566667	0.35	7.96477	0.005566667	0.35	8.937518	0.03476667	0.35	10.09464	0.01736667	0.35	9.796619	0.005833333	0.35	7.603963	0.01736667
0.36	2.526442	0.0059	0.36	12.81977	0.005966667	0.36	8.836587	0.03576667	0.36	8.920829	0.0058	0.36	9.040038	0.03576667	0.36	7.841587	0.0058	0.36	7.301172	0.005833333	0.36	7.293224	0.005833333	0.36	7.249514	0.0058	0.36	7.239977	0.005766667	0.36	8.029938	0.005766667	0.36	8.96136	0.03583333	0.36	10.10815	0.01786667	0.36	9.801388	0.006	0.36	7.612705	0.01783333
0.37	2.528032	0.0061	0.37	12.82454	0.006133333	0.37	8.85884	0.03673333	0.37	8.999507	0.005966667	0.37	9.069443	0.03676667	0.37	7.915497	0.005966667	0.37	7.343292	0.005966667	0.37	7.328987	0.006033333	0.37	7.279714	0.005966667	0.37	7.271767	0.005933333	0.37	8.099079	0.005933333	0.37	8.989175	0.03683333	0.37	10.12246	0.01836667	0.37	9.801388	0.006166667	0.37	7.619858	0.01833333
0.38	2.528826	0.006233334	0.38	12.83328	0.006333333	0.38	8.877913	0.03773334	0.38	9.071827	0.006166667	0.38	9.090106	0.03776667	0.38	7.982254	0.006166667	0.38	7.383823	0.006166667	0.38	7.363955	0.006166667	0.38	7.309914	0.006166667	0.38	7.312298	0.0061	0.38	8.169015	0.006133333	0.38	9.016196	0.03776667	0.38	10.13041	0.01883333	0.38	9.796619	0.006333333	0.38	7.627805	0.01883333
0.39	2.530416	0.0064	0.39	12.84202	0.0065	0.39	8.892219	0.0387	0.39	9.136994	0.006366667	0.39	9.10759	0.03873333	0.39	8.039474	0.006333333	0.39	7.419586	0.006366667	0.39	7.401308	0.006333333	0.39	7.344882	0.006333333	0.39	7.354418	0.0063	0.39	8.240541	0.006333333	0.39	9.036064	0.03866667	0.39	10.13279	0.01933333	0.39	9.791851	0.006466667	0.39	7.634958	0.01933333
0.4	2.534389	0.006566667	0.4	12.8452	0.006633333	0.4	8.907318	0.0397	0.4	9.197394	0.006566667	0.4	9.127458	0.03966667	0.4	8.092721	0.0065	0.4	7.456938	0.0065	0.4	7.442633	0.0065	0.4	7.383029	0.0065	0.4	7.394155	0.006466667	0.4	8.308887	0.0065	0.4	9.051164	0.03966667	0.4	10.13835	0.01986667	0.4	9.789467	0.0066	0.4	7.639726	0.01986667
0.41	2.541542	0.006733333	0.41	12.8444	0.0068	0.41	8.920829	0.04066667	0.41	9.264152	0.006733333	0.41	9.152095	0.04063333	0.41	8.141994	0.006666667	0.41	7.494291	0.0067	0.41	7.488728	0.0067	0.41	7.424355	0.0067	0.41	7.429123	0.006633333	0.41	8.378029	0.0067	0.41	9.064674	0.04066667	0.41	10.14868	0.02036667	0.41	9.790261	0.006733333	0.41	7.6437	0.02036667
0.42	2.550284	0.006866667	0.42	12.8444	0.006966667	0.42	8.930366	0.04163333	0.42	9.336472	0.0069	0.42	9.177526	0.0416	0.42	8.18332	0.006866667	0.42	7.531643	0.006833334	0.42	7.529259	0.006866667	0.42	7.466475	0.0069	0.42	7.464886	0.006833334	0.42	8.450349	0.0069	0.42	9.080569	0.04163333	0.42	10.16219	0.02086667	0.42	9.796619	0.006933333	0.42	7.650057	0.02086667
0.43	2.555847	0.007033333	0.43	12.84997	0.0071	0.43	8.941491	0.04263333	0.43	9.407997	0.007033333	0.43	9.204547	0.0426	0.43	8.216699	0.007066667	0.43	7.563432	0.007033333	0.43	7.562637	0.007033333	0.43	7.503033	0.007066667	0.43	7.502238	0.007033333	0.43	8.524259	0.007066667	0.43	9.100437	0.04263333	0.43	10.17809	0.0214	0.43	9.802978	0.007133333	0.43	7.653236	0.02136667
